req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-GCG-001,PROTOCOL,,aegis-infra/v1 Plugin Contract,,tests/integration/contract.test.ts,contract_scenarios,Integration Test,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/PROTOCOL/REQ-GCG-001.md,
REQ-GCG-002,INFRA,,GCP Assured Workloads Boundary Provisioning,,tests/integration/provisioning.test.ts,provisionBoundary,Integration Test,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-002.md,
REQ-GCG-003,STATUS,,Boundary Health Status Checks,,tests/integration/health-status.test.ts,statusChecks,Integration Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/STATUS/REQ-GCG-003.md,
REQ-GCG-004,INFRA,,Local Pulumi State Backend,,src/infrastructure/__tests__/automation.test.ts,resolveStateDir,Unit Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-004.md,
REQ-GCG-005,INFRA,,Initialization State Machine,,tests/integration/provisioning.test.ts,initialization_state_machine,Integration Test,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-005.md,
REQ-GCG-006,INFRA,,Unified State Machine for All Stateful Subcommands,,tests/integration/provisioning.test.ts,unified_lifecycle,Integration Test,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-006.md,
REQ-GCG-007,STATUS,,VPC-SC Perimeter Validation and Vertex AI Model Access,,src/__tests__/health.test.ts,checkVertexAiAccessible,Unit Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/STATUS/REQ-GCG-007.md,
REQ-GCG-008,INFRA,,Pre-commit Hook Enforcement,,manual,manual_verification,Manual,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-008.md,
REQ-GCG-009,PROTOCOL,,Extract @aegis/infra-sdk for Plugin Ecosystem,,src/__tests__/sdk-integration.test.ts,sdk_integration,Unit Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/PROTOCOL/REQ-GCG-009.md,
REQ-GCG-010,INFRA,,Resilient Network Operations,,src/__tests__/fetch-retry.test.ts,resolveTimeout,Unit Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-010.md,
REQ-GCG-011,INFRA,,Plugin Binary Release Workflow,,.github/workflows/release.yml,release_workflow,Manual,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-011.md,
REQ-GCG-012,INFRA,,Plugin-Side Security Hardening,,src/__tests__/domain-allowlist.test.ts,isDomainAllowed,Unit Test,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-012.md,
REQ-GCG-013,INFRA,,Plugin Documentation Infrastructure,,docs/index.mdx,frontmatter_validation,Manual,COMPLETE,MEDIUM,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-013.md,
REQ-GCG-014,INFRA,,E2E Test Infrastructure and GCP Test Harness,,tests/e2e/steps/provisioning.steps.ts,e2e_step_definitions,E2E Test,COMPLETE,HIGH,,,,,,,,,,.rtmx/requirements/INFRA/REQ-GCG-014.md,
